,event_number,time,event_condition,event_time,event_wait,event_volume,event_action,valve_state,energy_use,water_use,tempering_water_use,      boiler_1_1,boiler_1_2,boiler_1_3,boiler_1_4,boiler_1_5,boiler_1_6,boiler_1_7,boiler_1_8,boiler_1_9,boiler_1_10,boiler_1_11,boiler_1_12,      boiler_2_1,boiler_2_2,boiler_2_3,boiler_2_4,boiler_2_5,boiler_2_6,boiler_2_7,boiler_2_8,boiler_2_9,boiler_2_10,boiler_2_11,boiler_2_12,      boiler_3_1,boiler_3_2,boiler_3_3,boiler_3_4,boiler_3_5,boiler_3_6,boiler_3_7,boiler_3_8,boiler_3_9,boiler_3_10,boiler_3_11,boiler_3_12,      boiler_4_1,boiler_4_2,boiler_4_3,boiler_4_4,boiler_4_5,boiler_4_6,boiler_4_7,boiler_4_8,boiler_4_9,boiler_4_10,boiler_4_11,boiler_4_12,      inlet_temp_strap,inlet_temp_probe,outlet_temp_strap,outlet_temp_probe,thermostat_temp,ambient_temp,tempering_temp,other
253,4,14:34:16 28/6/24,time,14:35:0 28/6/24,,,,closed,220.62,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.47,0.00,0.00,0.00,0.00,67.50,110.00,110.00,110.00,72.03,110.00,110.00,110.00,0.00,33.00,110.00,26.07,110.00,110.00,110.00,110.00,110.00,99.20,110.00,110.00,110.00,0.00,110.00,71.33,110.00,110.00,0.00,110.00,0.00,67.43,101.77,110.00,110.00,110.00,110.00,110.00,110.00,110.00,20.65,20.65,-50.00,32.26,25.81,19.35,18.39,
254,4,14:34:17 28/6/24,time,14:35:0 28/6/24,,,,closed,221.87,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.13,0.00,0.00,0.00,0.00,67.67,110.00,110.00,110.00,72.17,110.00,110.00,110.00,0.00,32.93,110.00,26.03,110.00,110.00,110.00,110.00,110.00,99.20,110.00,110.00,110.00,0.00,110.00,71.30,110.00,110.00,0.00,110.00,0.00,67.50,101.60,110.00,110.00,110.00,110.00,110.00,110.00,110.00,20.65,20.97,-50.00,32.58,25.48,19.03,18.06,
255,4,14:34:18 28/6/24,time,14:35:0 28/6/24,,,,closed,222.50,48.00,0.00,110.00,110.00,0.00,0.00,0.00,67.80,0.00,0.00,0.00,0.00,67.77,110.00,110.00,110.00,72.37,110.00,110.00,110.00,0.00,33.07,110.00,26.13,110.00,110.00,110.00,110.00,110.00,99.20,110.00,110.00,110.00,0.00,110.00,71.30,110.00,110.00,0.00,110.00,0.00,67.53,101.50,110.00,110.00,110.00,110.00,110.00,110.00,110.00,19.68,20.32,-50.00,32.58,25.48,19.03,18.71,
256,4,14:34:19 28/6/24,time,14:35:0 28/6/24,,,,closed,223.12,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.03,0.00,0.00,0.00,0.00,67.93,110.00,110.00,110.00,72.23,110.00,110.00,110.00,0.00,33.20,110.00,26.07,110.00,110.00,110.00,110.00,110.00,99.20,110.00,110.00,110.00,0.00,110.00,71.23,110.00,110.00,0.00,110.00,0.00,67.47,101.50,110.00,110.00,110.00,110.00,110.00,110.00,110.00,21.29,20.65,11.61,32.58,25.16,19.03,18.39,
257,4,14:34:20 28/6/24,time,14:35:0 28/6/24,,,,closed,224.37,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.03,0.00,0.00,0.00,0.00,67.87,110.00,110.00,110.00,72.23,110.00,110.00,110.00,0.00,33.20,110.00,26.10,110.00,110.00,110.00,110.00,110.00,99.20,110.00,110.00,110.00,0.00,110.00,71.27,110.00,110.00,0.00,110.00,0.00,67.50,101.43,110.00,110.00,110.00,110.00,110.00,110.00,110.00,20.65,21.94,11.61,32.90,25.48,19.35,18.06,
258,4,14:34:21 28/6/24,time,14:35:0 28/6/24,,,,closed,225.00,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.07,0.00,0.00,0.00,0.00,67.77,110.00,110.00,110.00,72.33,110.00,110.00,110.00,0.00,33.20,110.00,26.03,110.00,110.00,110.00,110.00,110.00,98.43,110.00,110.00,110.00,0.00,110.00,71.23,110.00,110.00,0.00,110.00,0.00,67.43,101.43,110.00,110.00,110.00,110.00,110.00,110.00,110.00,23.87,18.71,13.23,32.58,25.16,19.03,18.39,
259,4,14:34:22 28/6/24,time,14:35:0 28/6/24,,,,closed,225.62,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.20,0.00,0.00,0.00,0.00,67.47,110.00,110.00,110.00,72.23,110.00,110.00,110.00,0.00,33.27,110.00,25.97,110.00,110.00,110.00,110.00,110.00,99.20,110.00,110.00,110.00,0.00,110.00,71.13,110.00,110.00,0.00,110.00,0.00,67.23,101.50,110.00,110.00,110.00,110.00,110.00,110.00,110.00,20.32,20.00,-50.00,32.26,25.48,19.03,18.06,
260,4,14:34:23 28/6/24,time,14:35:0 28/6/24,,,,closed,226.87,48.00,0.00,110.00,110.00,0.00,0.00,0.00,67.97,0.00,0.00,0.00,0.00,67.27,110.00,110.00,110.00,72.23,110.00,110.00,110.00,0.00,33.23,110.00,26.00,110.00,110.00,110.00,110.00,110.00,99.20,110.00,110.00,110.00,0.00,110.00,71.23,110.00,110.00,0.00,110.00,0.00,67.40,101.60,110.00,110.00,110.00,110.00,110.00,110.00,110.00,19.68,21.94,14.19,32.58,24.84,19.35,19.03,
261,4,14:34:24 28/6/24,time,14:35:0 28/6/24,,,,closed,227.50,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.17,0.00,0.00,0.00,0.00,67.13,110.00,110.00,110.00,72.17,110.00,110.00,110.00,0.00,33.23,110.00,26.00,110.00,110.00,110.00,110.00,110.00,99.00,110.00,110.00,110.00,0.00,110.00,71.10,110.00,110.00,0.00,110.00,0.00,67.43,101.43,110.00,110.00,110.00,110.00,110.00,110.00,110.00,17.10,19.68,14.84,32.90,25.16,19.03,18.71,
262,4,14:34:25 28/6/24,time,14:35:0 28/6/24,,,,closed,228.12,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.33,0.00,0.00,0.00,0.00,67.17,110.00,110.00,110.00,72.23,110.00,110.00,110.00,0.00,33.27,110.00,26.00,110.00,110.00,110.00,110.00,110.00,99.10,110.00,110.00,110.00,0.00,110.00,71.17,110.00,110.00,0.00,110.00,0.00,67.27,101.50,110.00,110.00,110.00,110.00,110.00,110.00,110.00,20.65,20.97,-20.97,32.90,25.16,19.03,18.71,
